ExperimentNumber,WorkloadNumber,     Id,J,UserClass,Policy,CloudDeploymentModel,  Deadline,    Budget,ExecutionTime,      Cost,IsDeadlineViolated,IsBudgetViolated,NumberOfVMs,LogMessage
               1,             5,    273,J={9-2},     GOLD,BTMultiCost,              Hybrid,    180.00,      2.50,       166.40,      0.00,No (13.599999999976717 seconds) earlier,No ($2.5) savings,          9,By Performance Tree | No Solution! | By Cost Tree
               1,             5,    274,J={9-2},     GOLD,BTMultiCost,              Hybrid,    190.00,      2.50,       166.40,      0.00,No (23.599999999976717 seconds) earlier,No ($2.5) savings,          9,By Performance Tree | No Solution! | By Cost Tree
               1,             5,    275,J={9-2},     GOLD,BTMultiCost,              Hybrid,    200.00,      2.50,       166.40,      0.00,No (33.59999999997672 seconds) earlier,No ($2.5) savings,          9,By Performance Tree | No Solution! | By Cost Tree
               1,             5,    276,J={9-2},     GOLD,BTMultiCost,              Hybrid,    210.00,      2.50,       166.40,      0.00,No (43.60000000009313 seconds) earlier,No ($2.5) savings,          9,By Performance Tree | No Solution! | By Cost Tree
               1,             5,    277,J={9-2},     GOLD,BTMultiCost,              Hybrid,    220.00,      2.50,       966.40,      0.00,YES! (746.3999999999069 seconds) over deadline,No ($2.5) savings,          1,By Performance Tree | Forced to accept a solution
               1,             5,    278,J={9-2},     GOLD,BTMultiCost,              Hybrid,    230.00,      2.50,       218.10,      0.50,No (11.899999999906868 seconds) earlier,No ($2.0) savings,          6,By Performance Tree | Forced to accept a solution
               1,             5,    279,J={9-2},     GOLD,BTMultiCost,              Hybrid,    240.00,      2.50,       218.10,      0.50,No (21.899999999906868 seconds) earlier,No ($2.0) savings,          6,By Performance Tree | Forced to accept a solution
               1,             5,    280,J={9-2},     GOLD,BTMultiCost,              Hybrid,    250.00,      2.50,       218.10,      0.50,No (31.899999999906868 seconds) earlier,No ($2.0) savings,          6,By Performance Tree | Forced to accept a solution
               1,             5,    281,J={9-2},     GOLD,BTMultiCost,              Hybrid,    260.00,      2.50,       218.10,      0.50,No (41.89999999990687 seconds) earlier,No ($2.0) savings,          6,By Performance Tree | Forced to accept a solution
               1,             5,    282,J={9-2},     GOLD,BTMultiCost,              Hybrid,    270.00,      2.50,       256.40,      0.00,No (13.600000000093132 seconds) earlier,No ($2.5) savings,          5,By Performance Tree | By Cost Tree
               1,             5,    283,J={9-2},     GOLD,BTMultiCost,              Hybrid,    280.00,      2.50,       266.40,      0.00,No (13.600000000093132 seconds) earlier,No ($2.5) savings,          5,By Performance Tree | By Cost Tree
               1,             5,    284,J={9-2},     GOLD,BTMultiCost,              Hybrid,    290.00,      2.50,       266.40,      0.00,No (23.600000000093132 seconds) earlier,No ($2.5) savings,          5,By Performance Tree | By Cost Tree
               1,             5,    285,J={9-2},     GOLD,BTMultiCost,              Hybrid,    300.00,      2.50,       266.40,      0.00,No (33.60000000009313 seconds) earlier,No ($2.5) savings,          5,By Performance Tree | By Cost Tree
               1,             5,    286,J={9-2},     GOLD,BTMultiCost,              Hybrid,    310.00,      2.50,       266.40,      0.00,No (43.60000000009313 seconds) earlier,No ($2.5) savings,          5,By Performance Tree | By Cost Tree
               1,             6,    450,J={9-2},     GOLD,BTDecision,              Hybrid,    120.00,      2.50,       118.10,      0.50,No (1.8999999999941792 seconds) earlier,No ($2.0) savings,         10,By Decision Tree
               1,             6,    451,J={9-2},     GOLD,BTDecision,              Hybrid,    130.00,      2.50,       118.10,      0.50,No (11.900000000023283 seconds) earlier,No ($2.0) savings,         10,By Decision Tree
               1,             6,    452,J={9-2},     GOLD,BTDecision,              Hybrid,    140.00,      2.50,       118.10,      0.50,No (21.900000000023283 seconds) earlier,No ($2.0) savings,         10,By Decision Tree
               1,             6,    453,J={9-2},     GOLD,BTDecision,              Hybrid,    150.00,      2.50,       118.10,      0.50,No (31.900000000023283 seconds) earlier,No ($2.0) savings,         10,By Decision Tree
               1,             6,    454,J={9-2},     GOLD,BTDecision,              Hybrid,    160.00,      2.50,       156.40,      0.00,No (3.599999999976717 seconds) earlier,No ($2.5) savings,          9,By Decision Tree
               1,             6,    455,J={9-2},     GOLD,BTDecision,              Hybrid,    170.00,      2.50,       156.40,      0.00,No (13.599999999976717 seconds) earlier,No ($2.5) savings,          9,By Decision Tree
               1,             6,    456,J={9-2},     GOLD,BTDecision,              Hybrid,    180.00,      2.50,       156.40,      0.00,No (23.599999999976717 seconds) earlier,No ($2.5) savings,          9,By Decision Tree
               1,             6,    457,J={9-2},     GOLD,BTDecision,              Hybrid,    190.00,      2.50,       156.40,      0.00,No (33.59999999997672 seconds) earlier,No ($2.5) savings,          9,By Decision Tree
               1,             6,    458,J={9-2},     GOLD,BTDecision,              Hybrid,    200.00,      2.50,       156.40,      0.00,No (43.59999999997672 seconds) earlier,No ($2.5) savings,          9,By Decision Tree
               1,             6,    459,J={9-2},     GOLD,BTDecision,              Hybrid,    210.00,      2.50,       156.40,      0.00,No (53.60000000009313 seconds) earlier,No ($2.5) savings,          9,By Decision Tree
               1,             6,    460,J={9-2},     GOLD,BTDecision,              Hybrid,    220.00,      2.50,       156.40,      0.00,No (63.60000000009313 seconds) earlier,No ($2.5) savings,          9,By Decision Tree
               1,             6,    461,J={9-2},     GOLD,BTDecision,              Hybrid,    230.00,      2.50,       156.40,      0.00,No (73.60000000009313 seconds) earlier,No ($2.5) savings,          9,By Decision Tree
               1,             6,    462,J={9-2},     GOLD,BTDecision,              Hybrid,    240.00,      2.50,       156.40,      0.00,No (83.60000000009313 seconds) earlier,No ($2.5) savings,          9,By Decision Tree
               1,             6,    463,J={9-2},     GOLD,BTDecision,              Hybrid,    250.00,      2.50,       156.40,      0.00,No (93.60000000009313 seconds) earlier,No ($2.5) savings,          9,By Decision Tree
               1,             6,    464,J={9-2},     GOLD,BTDecision,              Hybrid,    260.00,      2.50,       156.40,      0.00,No (103.60000000009313 seconds) earlier,No ($2.5) savings,          9,By Decision Tree
               1,             6,    465,J={9-2},     GOLD,BTDecision,              Hybrid,    270.00,      2.50,       156.40,      0.00,No (113.60000000009313 seconds) earlier,No ($2.5) savings,          9,By Decision Tree
               1,             6,    466,J={9-2},     GOLD,BTDecision,              Hybrid,    280.00,      2.50,       156.40,      0.00,No (123.60000000009313 seconds) earlier,No ($2.5) savings,          9,By Decision Tree
               1,             6,    467,J={9-2},     GOLD,BTDecision,              Hybrid,    290.00,      2.50,       156.40,      0.00,No (133.60000000009313 seconds) earlier,No ($2.5) savings,          9,By Decision Tree
               1,             6,    468,J={9-2},     GOLD,BTDecision,              Hybrid,    300.00,      2.50,       156.40,      0.00,No (143.60000000009313 seconds) earlier,No ($2.5) savings,          9,By Decision Tree
               1,             6,    469,J={9-2},     GOLD,BTDecision,              Hybrid,    310.00,      2.50,       156.40,      0.00,No (153.60000000009313 seconds) earlier,No ($2.5) savings,          9,By Decision Tree
